skill_a,skill_b,path_a,path_b,score,status,actionable,scope_a,scope_b
academic-figure,agents-md-improver,academic-research-tools\academic-figure,developer-tools-integrations\agents-md-improver,0.023,clear,True,release,release
academic-figure,archive-planning,academic-research-tools\academic-figure,developer-tools-integrations\archive-planning,0.012,clear,True,release,release
academic-figure,ast-grep,academic-research-tools\academic-figure,developer-tools-integrations\ast-grep,0.011,clear,True,release,release
academic-figure,claude-md-improver,academic-research-tools\academic-figure,developer-tools-integrations\claude-md-improver,0.023,clear,True,release,release
academic-figure,codex-workflow-recommender,academic-research-tools\academic-figure,developer-tools-integrations\codex-workflow-recommender,0.022,clear,True,release,release
academic-figure,goal-meta-skill,academic-research-tools\academic-figure,developer-tools-integrations\goal-meta-skill,0.012,clear,True,release,release
academic-figure,image-to-ui-skill,academic-research-tools\academic-figure,developer-tools-integrations\image-to-ui-skill,0.013,clear,True,release,release
academic-figure,ripgrep,academic-research-tools\academic-figure,developer-tools-integrations\ripgrep,0.021,clear,True,release,release
academic-figure,uv-workflow,academic-research-tools\academic-figure,developer-tools-integrations\uv-workflow,0.012,clear,True,release,release
academic-figure,windows-dev-process-cleanup,academic-research-tools\academic-figure,developer-tools-integrations\windows-dev-process-cleanup,0.011,clear,True,release,release
academic-figure,code-auditor,academic-research-tools\academic-figure,development-workflows\code-auditor,0.046,clear,True,release,release
academic-figure,code-quality-review,academic-research-tools\academic-figure,development-workflows\code-quality-review,0.037,clear,True,release,release
academic-figure,code-refactor,academic-research-tools\academic-figure,development-workflows\code-refactor,0.021,clear,True,release,release
academic-figure,codex-dynamic-workflows,academic-research-tools\academic-figure,development-workflows\codex-dynamic-workflows,0.045,clear,True,release,release
academic-figure,cold-shower,academic-research-tools\academic-figure,development-workflows\cold-shower,0.035,clear,True,release,release
academic-figure,geju,academic-research-tools\academic-figure,development-workflows\geju,0.035,clear,True,release,release
academic-figure,goudi,academic-research-tools\academic-figure,development-workflows\goudi,0.021,clear,True,release,release
academic-figure,handoff,academic-research-tools\academic-figure,development-workflows\handoff,0.021,clear,True,release,release
academic-figure,html-artifact,academic-research-tools\academic-figure,development-workflows\html-artifact,0.011,clear,True,release,release
academic-figure,implementation-notes,academic-research-tools\academic-figure,development-workflows\implementation-notes,0.01,clear,True,release,release
academic-figure,spark,academic-research-tools\academic-figure,development-workflows\spark,0.021,clear,True,release,release
academic-figure,unknowns-first,academic-research-tools\academic-figure,development-workflows\unknowns-first,0.021,clear,True,release,release
academic-figure,beautiful-mermaid-editor,academic-research-tools\academic-figure,docs-writing-publishing\beautiful-mermaid-editor,0.022,clear,True,release,release
academic-figure,bidwriter,academic-research-tools\academic-figure,docs-writing-publishing\bidwriter,0.0,clear,True,release,release
